algorithm,n_clusters,silhouette,davies_bouldin,calinski_harabasz,noise_pct,min_cluster_size,max_cluster_size,balance_ratio,params
DBSCAN,4,0.22815881313808384,0.5511328029552407,18.527516678522232,4.910988336402701,3,3083,0.0009730781706130393,"eps=0.8, min_samples=5"
DBSCAN,3,0.42307373990919056,0.6960651135318819,702.6521262594458,8.931860036832411,36,2703,0.013318534961154272,"eps=0.8, min_samples=10"
DBSCAN,3,0.24062157176853857,0.720371637759042,490.41222055866075,12.52302025782689,16,2649,0.00604001510003775,"eps=0.8, min_samples=15"
DBSCAN,2,0.5902587131475816,0.30585525063075136,55.646423412451945,2.4554941682013505,5,3173,0.001575795776867318,"eps=1.0, min_samples=5"
DBSCAN,2,0.4693649642806596,0.7295873238151305,1406.08712300592,6.875383670963782,296,2738,0.10810810810810811,"eps=1.0, min_samples=15"
DBSCAN,2,0.3409852920473272,0.652506364609938,19.77131023136971,0.7673419275629221,7,3226,0.0021698698078115313,"eps=1.4, min_samples=5"
DBSCAN,2,0.29218685836107167,0.6000614390595572,27.117155607916224,4.696132596685083,9,3096,0.0029069767441860465,"eps=1.0, min_samples=10"
DBSCAN,1,,,,1.350521792510743,3214,3214,1.0,"eps=1.2, min_samples=5"
DBSCAN,1,,,,2.7624309392265194,3168,3168,1.0,"eps=1.2, min_samples=10"
DBSCAN,1,,,,3.683241252302026,3138,3138,1.0,"eps=1.2, min_samples=15"
DBSCAN,1,,,,1.7495395948434622,3201,3201,1.0,"eps=1.4, min_samples=10"
DBSCAN,1,,,,2.5168815224063845,3176,3176,1.0,"eps=1.4, min_samples=15"
DBSCAN,1,,,,0.3990178023327195,3245,3245,1.0,"eps=1.6, min_samples=5"
DBSCAN,1,,,,0.8287292817679558,3231,3231,1.0,"eps=1.6, min_samples=10"
DBSCAN,1,,,,1.5039901780233271,3209,3209,1.0,"eps=1.6, min_samples=15"
