,count,mean,std,min,25%,50%,75%,max,missing_pct,skew
TEETHLOST_CrudePrev,3257.0,13.374147988946882,8.074963263939024,2.3,7.7,11.6,16.7,66.3,0.03069367710251688,1.544807074714852
ACCESS2_CrudePrev,3258.0,10.500460405156538,6.259998433194865,3.0,6.325,8.3,12.674999999999999,41.9,0.0,1.7403297252171424
BPHIGH_CrudePrev,3258.0,33.51614487415593,7.302585348516863,9.0,28.8,33.4,38.3,62.4,0.0,-0.05021911539194911
CHECKUP_CrudePrev,3258.0,77.71178637200737,3.1680875062789653,62.4,75.9,78.2,79.7,91.0,0.0,-0.4557918544385989
CASTHMA_CrudePrev,3258.0,10.281798649478207,1.3485263747718637,7.2,9.3,10.0,10.8,15.8,0.0,1.0732242284368632
CHD_CrudePrev,3258.0,5.967955801104972,1.8246558371515942,0.8,4.8,5.9,7.2,16.7,0.0,0.20681899868105222
DIABETES_CrudePrev,3258.0,12.126734192756293,3.914227822295208,1.7,9.7,11.6,13.9,32.3,0.0,0.8001621877193696
COPD_CrudePrev,3258.0,6.749846531614487,2.581354515355675,1.4,4.9,6.4,8.3,18.0,0.0,0.7738280428687242
LPA_CrudePrev,3258.0,24.23314917127072,7.583055215508054,8.5,18.7,23.4,28.6,55.7,0.0,0.6072947399951972
OBESITY_CrudePrev,3258.0,35.26718845917741,7.101012534370725,16.5,29.7,35.8,40.0,64.3,0.0,0.21742749214290305
MHLTH_CrudePrev,3258.0,16.274953959484346,2.9223959325913564,8.1,14.3,16.1,17.9,35.3,0.0,0.7738842132293372
CSMOKING_CrudePrev,3258.0,13.060405156537755,4.7060264300761405,4.0,9.7,12.5,15.7,48.1,0.0,0.9445273011967129
PHLTH_CrudePrev,3258.0,12.782412523020259,3.0896105000357146,5.3,10.6,12.8,14.8,25.1,0.0,0.28877499699620995
GHLTH_CrudePrev,3258.0,20.061878453038677,7.4164635524879,6.7,14.7,18.85,24.0,56.4,0.0,0.8993241051684268
SLEEP_CrudePrev,3258.0,36.639349294045424,5.205803645321777,25.5,33.2,35.7,38.9,56.6,0.0,0.8784830952393663
STROKE_CrudePrev,3258.0,3.473204419889503,1.300850049880454,0.5,2.6,3.3,4.1,11.1,0.0,1.0434361492147703
FOODSTAMP_CrudePrev,3258.0,17.446746470227133,13.343251063537958,2.8,8.2,12.7,21.9,83.2,0.0,1.6569371624900597
HOUSINSECU_CrudePrev,3258.0,15.126764886433394,8.880849572630229,4.0,8.8,11.6,19.4,55.1,0.0,1.3146885419674252
LACKTRPT_CrudePrev,3258.0,9.436648250460404,5.520049263764961,2.8,5.6,7.5,11.6,42.7,0.0,1.6321732760900145
EMOTIONSPT_CrudePrev,3258.0,26.091160220994475,4.827463566622035,16.3,22.8,24.7,28.9,42.9,0.0,0.7765418152659039
