,variance
STROKE_CrudePrev,1.69221085227398
CASTHMA_CrudePrev,1.818523383455345
CHD_CrudePrev,3.329368924051385
COPD_CrudePrev,6.663391133947132
MHLTH_CrudePrev,8.540397986826504
PHLTH_CrudePrev,9.545693041930937
CHECKUP_CrudePrev,10.036778447440872
DIABETES_CrudePrev,15.321179444829884
CSMOKING_CrudePrev,22.146684760575184
EMOTIONSPT_CrudePrev,23.304404487063138
SLEEP_CrudePrev,27.100391593645497
LACKTRPT_CrudePrev,30.470943874392088
ACCESS2_CrudePrev,39.18758038360217
OBESITY_CrudePrev,50.42437901329016
BPHIGH_CrudePrev,53.32775277237316
GHLTH_CrudePrev,55.00393162538145
LPA_CrudePrev,57.502726401443894
TEETHLOST_CrudePrev,65.20503171396477
HOUSINSECU_CrudePrev,78.86948913168654
FOODSTAMP_CrudePrev,178.04234894460683
