feature_1,feature_2,abs_correlation
LPA_CrudePrev,GHLTH_CrudePrev,0.9904075347213915
FOODSTAMP_CrudePrev,LACKTRPT_CrudePrev,0.9884182568455926
HOUSINSECU_CrudePrev,LACKTRPT_CrudePrev,0.9763646995848423
FOODSTAMP_CrudePrev,HOUSINSECU_CrudePrev,0.9626777449457539
DIABETES_CrudePrev,STROKE_CrudePrev,0.9589006107499649
CSMOKING_CrudePrev,PHLTH_CrudePrev,0.9485565552192335
HOUSINSECU_CrudePrev,EMOTIONSPT_CrudePrev,0.9410653647933657
GHLTH_CrudePrev,FOODSTAMP_CrudePrev,0.9401265540336845
BPHIGH_CrudePrev,STROKE_CrudePrev,0.9357330600395292
CHD_CrudePrev,COPD_CrudePrev,0.9268889184920793
COPD_CrudePrev,PHLTH_CrudePrev,0.9265914593765453
GHLTH_CrudePrev,LACKTRPT_CrudePrev,0.9255166324297965
LPA_CrudePrev,PHLTH_CrudePrev,0.9204342252126103
SLEEP_CrudePrev,EMOTIONSPT_CrudePrev,0.9170129506112166
PHLTH_CrudePrev,GHLTH_CrudePrev,0.9131599115770209
