,PC1,PC2,PC3
TEETHLOST_CrudePrev,0.242,-0.075,-0.002
ACCESS2_CrudePrev,0.156,-0.364,-0.237
BPHIGH_CrudePrev,0.205,0.346,0.066
CHECKUP_CrudePrev,0.051,0.485,0.448
CASTHMA_CrudePrev,0.222,0.1,0.288
CHD_CrudePrev,0.18,0.367,-0.3
DIABETES_CrudePrev,0.246,0.116,0.083
COPD_CrudePrev,0.223,0.248,-0.26
LPA_CrudePrev,0.253,-0.086,-0.125
OBESITY_CrudePrev,0.235,0.073,-0.119
MHLTH_CrudePrev,0.218,-0.126,-0.164
CSMOKING_CrudePrev,0.247,0.038,-0.233
PHLTH_CrudePrev,0.245,0.084,-0.321
GHLTH_CrudePrev,0.256,-0.093,-0.08
SLEEP_CrudePrev,0.234,-0.122,0.298
STROKE_CrudePrev,0.236,0.222,0.101
FOODSTAMP_CrudePrev,0.246,-0.142,0.178
HOUSINSECU_CrudePrev,0.228,-0.245,0.204
LACKTRPT_CrudePrev,0.237,-0.21,0.16
EMOTIONSPT_CrudePrev,0.219,-0.229,0.27
