feature,std_after_standard_scaling,median_after_robust_scaling
TEETHLOST_CrudePrev,1.0,0.0
ACCESS2_CrudePrev,0.9999999999999999,0.0
BPHIGH_CrudePrev,1.0,0.0
CHECKUP_CrudePrev,0.9999999999999999,0.0
CASTHMA_CrudePrev,1.0,0.0
CHD_CrudePrev,0.9999999999999998,0.0
DIABETES_CrudePrev,1.0,0.0
COPD_CrudePrev,1.0,0.0
LPA_CrudePrev,1.0,0.0
OBESITY_CrudePrev,1.0,0.0
MHLTH_CrudePrev,1.0,0.0
CSMOKING_CrudePrev,1.0,0.0
PHLTH_CrudePrev,1.0,0.0
GHLTH_CrudePrev,1.0,-1.9081958235744878e-16
SLEEP_CrudePrev,1.0,0.0
STROKE_CrudePrev,1.0,0.0
FOODSTAMP_CrudePrev,1.0,0.0
HOUSINSECU_CrudePrev,0.9999999999999999,0.0
LACKTRPT_CrudePrev,1.0,0.0
EMOTIONSPT_CrudePrev,1.0,0.0
