feature_1,feature_2,correlation,abs_correlation
LPA_CrudePrev,GHLTH_CrudePrev,0.9904075347213906,0.9904075347213906
FOODSTAMP_CrudePrev,LACKTRPT_CrudePrev,0.9884182568455893,0.9884182568455893
HOUSINSECU_CrudePrev,LACKTRPT_CrudePrev,0.9763646995848425,0.9763646995848425
FOODSTAMP_CrudePrev,HOUSINSECU_CrudePrev,0.9626777449457592,0.9626777449457592
DIABETES_CrudePrev,STROKE_CrudePrev,0.9589006107499625,0.9589006107499625
CSMOKING_CrudePrev,PHLTH_CrudePrev,0.9485565552192338,0.9485565552192338
HOUSINSECU_CrudePrev,EMOTIONSPT_CrudePrev,0.9410653647933693,0.9410653647933693
GHLTH_CrudePrev,FOODSTAMP_CrudePrev,0.9401265540336872,0.9401265540336872
BPHIGH_CrudePrev,STROKE_CrudePrev,0.9357330600395277,0.9357330600395277
CHD_CrudePrev,COPD_CrudePrev,0.9268889184920809,0.9268889184920809
COPD_CrudePrev,PHLTH_CrudePrev,0.9265914593765435,0.9265914593765435
GHLTH_CrudePrev,LACKTRPT_CrudePrev,0.9255166324297955,0.9255166324297955
LPA_CrudePrev,PHLTH_CrudePrev,0.9204342252126059,0.9204342252126059
SLEEP_CrudePrev,EMOTIONSPT_CrudePrev,0.9170129506112134,0.9170129506112134
PHLTH_CrudePrev,GHLTH_CrudePrev,0.9131599115770189,0.9131599115770189
GHLTH_CrudePrev,HOUSINSECU_CrudePrev,0.9129586285465207,0.9129586285465207
COPD_CrudePrev,CSMOKING_CrudePrev,0.9068616044780762,0.9068616044780762
SLEEP_CrudePrev,FOODSTAMP_CrudePrev,0.9059382156460045,0.9059382156460045
LACKTRPT_CrudePrev,EMOTIONSPT_CrudePrev,0.9058143804367199,0.9058143804367199
TEETHLOST_CrudePrev,FOODSTAMP_CrudePrev,0.9038501330509471,0.9038501330509471
BPHIGH_CrudePrev,CHD_CrudePrev,0.9037908583626343,0.9037908583626343
LPA_CrudePrev,FOODSTAMP_CrudePrev,0.9032705270732116,0.9032705270732116
DIABETES_CrudePrev,GHLTH_CrudePrev,0.9023042746049647,0.9023042746049647
COPD_CrudePrev,STROKE_CrudePrev,0.9013996403855464,0.9013996403855464
CSMOKING_CrudePrev,OBESITY_CrudePrev,0.8993410126505984,0.8993410126505984
GHLTH_CrudePrev,TEETHLOST_CrudePrev,0.897320003926239,0.897320003926239
DIABETES_CrudePrev,LPA_CrudePrev,0.8960194491072135,0.8960194491072135
CSMOKING_CrudePrev,GHLTH_CrudePrev,0.8942859054459721,0.8942859054459721
SLEEP_CrudePrev,HOUSINSECU_CrudePrev,0.8928817189018939,0.8928817189018939
FOODSTAMP_CrudePrev,EMOTIONSPT_CrudePrev,0.891086161042541,0.891086161042541
SLEEP_CrudePrev,LACKTRPT_CrudePrev,0.8898236887337205,0.8898236887337205
LPA_CrudePrev,LACKTRPT_CrudePrev,0.8897823838713995,0.8897823838713995
TEETHLOST_CrudePrev,LACKTRPT_CrudePrev,0.8877573494915204,0.8877573494915204
CSMOKING_CrudePrev,LPA_CrudePrev,0.8859992819028512,0.8859992819028512
OBESITY_CrudePrev,PHLTH_CrudePrev,0.8842386003431283,0.8842386003431283
LPA_CrudePrev,HOUSINSECU_CrudePrev,0.8824135147643406,0.8824135147643406
BPHIGH_CrudePrev,COPD_CrudePrev,0.8787998011466878,0.8787998011466878
DIABETES_CrudePrev,PHLTH_CrudePrev,0.878697067394479,0.878697067394479
LPA_CrudePrev,TEETHLOST_CrudePrev,0.8749578269486226,0.8749578269486226
BPHIGH_CrudePrev,DIABETES_CrudePrev,0.8746192825381804,0.8746192825381804
